m_D1	delta_m_plus	delta_m_0	sigma_2l_A	err_2l_A	sigma_2l_B	err_2l_B	sigma_2l_C	err_2l_C	sigma_3l_A	err_3l_A	sigma_3l_B	err_3l_B	sigma_3l_C	err_3l_C
40.0	100.0	1.0	171.0	5.0	1060.0	7.0	341.0	5.0		100.0	76.0	4.0	14100.0	71.0
40.0	120.0	1.0	184.0	5.0	1220.0	8.0	229.0	4.0	6910.0	70.0	46.0	3.0	14100.0	71.0
60.0	5.0	1.0	900.0	32.0	519.0	14.0								
60.0	10.0	1.0	292.0	22.0	219.0	11.0								
60.0	20.0	1.0	344.0	24.0	798.0	21.0					1900.0	10.0		
60.0	40.0	1.0	228.0	6.0	585.0	5.0	236.0	4.0		100.0	240.0	6.0		
60.0	60.0	1.0	79.0	3.0	255.0	4.0	224.0	4.0	836.0	41.0	71.0	7.0	900.0	30.0
60.0	80.0	1.0	45.0	3.0	182.0	3.0	248.0	4.0	627.0	35.0	44.0	5.0	2480.0	50.0
60.0	100.0	1.0	139.0	5.0	1030.0	7.0	252.0	4.0	952.0	24.0	188.0	6.0	561.0	13.0
60.0	120.0	1.0	168.0	5.0	1430.0	8.0	202.0	4.0		100.0	45.0	3.0	14100.0	71.0
80.0	5.0	1.0	563.0	25.0	267.0	10.0								
80.0	10.0	1.0	266.0	21.0	151.0	9.0								
80.0	20.0	1.0	319.0	15.0	414.0	10.0	3950.0	38.0			1310.0	8.0		
80.0	40.0	1.0	188.0	5.0	536.0	5.0	198.0	4.0	1250.0	50.0	255.0	13.0	1100.0	33.0
80.0	60.0	1.0	68.0	3.0	256.0	4.0	198.0	4.0	251.0	22.0	83.0	7.0	1240.0	35.0
80.0	80.0	1.0	39.0	2.0	176.0	3.0	223.0	4.0	264.0	23.0	44.0	5.0	830.0	29.0
80.0	100.0	1.0	140.0	5.0	1200.0	8.0	232.0	4.0	7030.0	71.0	64.0	4.0		100.0
80.0	120.0	1.0	271.0	8.0	680.0	7.0	220.0	5.0	439.0	16.0	128.0	5.0	489.0	12.0
1.0	10.0	10.0	257.0	66.0	877.0	71.0					684.0	18.0		
1.0	20.0	10.0	358.0	50.0		100.0	14300.0	71.0			554.0	16.0		
1.0	40.0	10.0	11000.0	50.0	9460.0	27.0		100.0	22799.999999999996	58.0	618.0	5.0		
1.0	60.0	10.0	4750.0	27.0	562.0	5.0	1110.0	9.0		100.0	170.0	5.0		
1.0	80.0	10.0	168.0	5.0	267.0	4.0	1100.0	9.0			83.0	5.0		
1.0	120.0	10.0	296.0	7.0	1520.0	9.0	407.0	6.0		98.0	70.0	4.0		
10.0	5.0	10.0	176.0	40.0										
10.0	10.0	10.0	182.0	56.0	585.0	58.0								
10.0	20.0	10.0	358.0	50.0	14300.0	58.0	14300.0	71.0			12800.0	25.0		
10.0	40.0	10.0	5480.0	58.0	3790.0	28.0		100.0			403.0	4.0		
10.0	60.0	10.0	536.0	9.0	409.0	5.0	710.0	7.0			144.0	5.0		
10.0	80.0	10.0	121.0	4.0	267.0	4.0	714.0	7.0			74.0	5.0		
10.0	120.0	10.0	264.0	6.0	1570.0	9.0	336.0	5.0	856.0	22.0	180.0	6.0	1010.0	17.0
20.0	5.0	10.0	3070.0	52.0	16900.0	71.0								
20.0	10.0	10.0	1410.0	49.0	8770.0	71.0					34200.0	41.0		
20.0	20.0	10.0	4190.0	45.0	6970.0	33.0	10400.0	50.0			1480.0	8.0		
20.0	40.0	10.0	1170.0	13.0	842.0	6.0	461.0	6.0			297.0	7.0		
20.0	60.0	10.0	161.0	5.0	296.0	4.0	554.0	6.0	716.0	38.0	106.0	8.0	2500.0	50.0
20.0	80.0	10.0	82.0	4.0	236.0	3.0	542.0	6.0	455.0	30.0	69.0	7.0	2500.0	50.0
20.0	100.0	10.0	263.0	6.0	1420.0	8.0	398.0	5.0	1280.0	27.0	200.0	6.0	1140.0	18.0
20.0	120.0	10.0	222.0	6.0	1430.0	8.0	285.0	5.0	951.0	24.0	153.0	5.0	856.0	16.0
40.0	5.0	10.0	1020.0	30.0	544.0	13.0								
40.0	10.0	10.0	929.0	25.0	1050.0	16.0	9500.0	58.0			3310.0	13.0		
40.0	20.0	10.0	950.0	12.0	1750.0	9.0	290.0	5.0		100.0	865.0	6.0		100.0
40.0	40.0	10.0	212.0	6.0	445.0	5.0	298.0	5.0			197.0	5.0		
40.0	60.0	10.0	78.0	3.0	226.0	3.0	379.0	5.0	456.0	30.0	70.0	7.0	4980.0	71.0
40.0	80.0	10.0	60.0	3.0	214.0	3.0	328.0	5.0	313.0	25.0	67.0	7.0	2000.0	45.0
40.0	100.0	10.0	201.0	5.0	1300.0	8.0	266.0	4.0	1140.0	26.0	205.0	6.0	797.0	15.0
40.0	120.0	10.0	180.0	5.0	1380.0	8.0	205.0	4.0	569.0	18.0	147.0	5.0	553.0	13.0
60.0	5.0	10.0	877.0	39.0	297.0	13.0								
60.0	10.0	10.0	831.0	38.0	337.0	14.0					2770.0	12.0		
60.0	20.0	10.0	578.0	9.0	1430.0	8.0	218.0	4.0			741.0	6.0		
60.0	40.0	10.0	126.0	4.0	367.0	4.0	218.0	4.0	1000.0	45.0	190.0	11.0	1430.0	38.0
60.0	60.0	10.0	63.0	3.0	220.0	3.0	239.0	4.0	386.0	28.0	71.0	7.0	2470.0	50.0
60.0	80.0	10.0	50.0	3.0	208.0	3.0	269.0	5.0	455.0	30.0	58.0	6.0	901.0	30.0
60.0	100.0	10.0	185.0	5.0	1510.0	9.0	224.0	4.0	772.0	21.0	159.0	6.0	659.0	14.0
60.0	120.0	10.0	165.0	5.0	1190.0	8.0	170.0	4.0		100.0	43.0	3.0	14100.0	71.0
80.0	5.0	10.0	650.0	33.0	161.0	10.0								
80.0	10.0	10.0	509.0	16.0	476.0	9.0	20000.0	71.0		100.0	125000.0	41.0	242000.0	71.0
80.0	20.0	10.0	786.0	12.0	1070.0	8.0	9130.0	29.0		100.0	717.0	6.0		
80.0	40.0	10.0	116.0	4.0	331.0	4.0	188.0	4.0	418.0	29.0	125.0	9.0	1650.0	41.0
80.0	60.0	10.0	56.0	3.0	202.0	3.0	200.0	4.0	264.0	23.0	57.0	6.0	1410.0	38.0
80.0	80.0	10.0	47.0	3.0	199.0	3.0	217.0	4.0	313.0	25.0	50.0	6.0	1240.0	35.0
80.0	100.0	10.0	273.0	8.0	1070.0	9.0	254.0	6.0	6940.0	70.0	55.0	4.0	9380.0	58.0
80.0	120.0	10.0	202.0	7.0	759.0	8.0	220.0	5.0		99.0	31.0	3.0		100.0
1.0	10.0	100.0			2270.0	11.0	591.0	7.0			451.0	5.0	63900.0	71.0
1.0	20.0	100.0			1880.0	10.0	450.0	6.0			504.0	3.0	64300.0	45.0
1.0	30.0	100.0			1640.0	9.0	386.0	5.0			153.0	5.0		100.0
1.0	40.0	100.0	3590.0	50.0	6140.0	38.0	4780.0	41.0			149.0	5.0	15900.0	58.0
10.0	5.0	100.0	2050.0	38.0	7170.0	41.0		100.0			385.0	4.0		100.0
10.0	10.0	100.0	4780.0	58.0	7170.0	41.0		100.0			367.0	4.0		
10.0	20.0	100.0	4190.0	45.0	10500.0	41.0	13899.999999999998	58.0			178.0	5.0		
10.0	40.0	100.0	4110.0	25.0	1280.0	8.0	279.0	5.0		99.0	302.0	8.0	856.0	16.0
20.0	5.0	100.0	7360.0	41.0	16600.0	35.0	22100.0	50.0			402.0	5.0	63900.0	71.0
20.0	10.0	100.0	2810.0	50.0		100.0					307.0	4.0		100.0
20.0	20.0	100.0	2810.0	50.0							140.0	4.0		100.0
20.0	40.0	100.0	1850.0	17.0	1010.0	7.0	228.0	4.0	3450.0	49.0	196.0	7.0	728.0	16.0
40.0	5.0	100.0	2990.0	38.0	8970.0	38.0	14000.0	58.0	643000.0	58.0	36000.0	8.0	39400.0	10.0
40.0	10.0	100.0	2450.0	24.0	14700.0	33.0	14700.0	41.0		100.0	131.0	4.0		
40.0	20.0	100.0	1200.0	24.0	10500.0	41.0		100.0	6920.0	70.0	233.0	7.0	498.0	13.0
40.0	40.0	100.0	1140.0	13.0	811.0	6.0	195.0	4.0	8050.000000000001	69.0	197.0	6.0	511.0	12.0
60.0	5.0	100.0	585.0	17.0	5230.0	29.0	20900.0	71.0		98.0	1240.0	8.0	2110.0	13.0
60.0	10.0	100.0	708.0	18.0	6280.0	32.0	14000.0	58.0	4059.9999999999995	49.0	269.0	7.0	535.0	13.0
60.0	20.0	100.0	2440.0	24.0	645.0	7.0	251.0	5.0	3320.0	48.0	207.0	7.0	536.0	14.0
60.0	40.0	100.0	851.0	14.0	737.0	7.0	183.0	5.0	1550.0	56.0	120.0	9.0	375.0	20.0
80.0	5.0	100.0	789.0	25.0	7850.0	45.0	8730.0	58.0		95.0	370.0	8.0	612.0	13.0
80.0	10.0	100.0	512.0	16.0	6980.0	33.0	10500.0	50.0	1100.0	48.0	236.0	13.0	609.0	25.0
80.0	20.0	100.0	1460.0	18.0	576.0	7.0	196.0	5.0	2220.0	68.0	138.0	10.0	513.0	23.0
80.0	40.0	100.0	791.0	14.0	569.0	7.0	189.0	5.0	1450.0	29.0	157.0	6.0	519.0	12.0
