MD1 	 MD2	 DMP 	 DM3 	 Br(h-->e-nu) 	 Br(h-->mu-nu) 	 Br(h-->tau-nu) 	 Br(h-->W-h1) 	 Br(W-->e-nu) 	Br(W-->mu-nu) 	 Br(W-->tau-nu)
1.867145e+01 	1.072727e+02 	6.980570e+01 	1.879551e+01 	1.112006e-01 	1.111995e-01 	1.108349e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.141288e+01 	5.203863e+01 	2.094470e+01 	1.968105e+01 	1.125329e-01 	1.125170e-01 	1.083944e-01 	0.000000e+00 	1.095271e-01 	1.095268e-01 	1.094468e-01 
1.379090e+01 	4.183367e+01 	1.163959e+01 	1.640318e+01 	1.155488e-01 	1.154994e-01 	1.029641e-01 	0.000000e+00 	1.087314e-01 	1.087310e-01 	1.086516e-01 
3.901183e+01 	1.000980e+02 	1.313181e+01 	4.795435e+01 	1.145530e-01 	1.145150e-01 	1.047207e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
2.244975e+02 	3.867952e+02 	8.046914e+01 	8.182861e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	9.999999e-01 	1.111432e-01 	1.111428e-01 	1.110616e-01 
2.483834e+01 	7.466760e+01 	2.587535e+01 	2.395391e+01 	1.120082e-01 	1.119982e-01 	1.093514e-01 	0.000000e+00 	1.110389e-01 	1.110385e-01 	1.109574e-01 
2.273426e+01 	7.974701e+01 	2.329163e+01 	3.372112e+01 	1.122234e-01 	1.122110e-01 	1.089558e-01 	0.000000e+00 	1.107681e-01 	1.107678e-01 	1.106869e-01 
7.898752e+01 	1.889596e+02 	4.292420e+01 	6.704783e+01 	1.114086e-01 	1.114053e-01 	1.104567e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.248565e+01 	4.186353e+01 	1.553664e+01 	1.384123e+01 	1.136472e-01 	1.136191e-01 	1.063683e-01 	0.000000e+00 	1.089515e-01 	1.089512e-01 	1.088716e-01 
2.787993e+02 	3.368381e+02 	3.227454e+01 	2.576422e+01 	1.116574e-01 	1.116513e-01 	1.099871e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
8.410872e+02 	8.835208e+02 	2.520655e+01 	1.722703e+01 	1.120252e-01 	1.120149e-01 	1.092999e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
9.450573e+02 	1.013730e+03 	5.788964e+01 	1.078301e+01 	1.112481e-01 	1.112464e-01 	1.107441e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
3.281156e+01 	1.066070e+02 	2.702124e+01 	4.677417e+01 	1.119246e-01 	1.119155e-01 	1.095040e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
3.833568e+02 	4.762183e+02 	6.443097e+01 	2.843050e+01 	1.112115e-01 	1.112103e-01 	1.108166e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
3.253531e+02 	3.598270e+02 	1.188963e+01 	2.258425e+01 	1.152809e-01 	1.152346e-01 	1.034057e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
6.708597e+01 	1.300223e+02 	3.977345e+01 	2.316284e+01 	1.114648e-01 	1.114609e-01 	1.103527e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.301313e+01 	1.021792e+02 	1.611046e+01 	7.305565e+01 	1.134696e-01 	1.134434e-01 	1.066889e-01 	0.000000e+00 	1.093781e-01 	1.093778e-01 	1.092979e-01 
7.246002e+01 	1.904678e+02 	6.871846e+01 	4.928928e+01 	1.111956e-01 	1.111946e-01 	1.108510e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.517482e+01 	6.365038e+01 	1.181204e+01 	3.666352e+01 	1.154124e-01 	1.153646e-01 	1.032032e-01 	0.000000e+00 	1.093287e-01 	1.093283e-01 	1.092485e-01 
1.464950e+01 	7.466829e+01 	3.097940e+01 	2.903940e+01 	1.117533e-01 	1.117461e-01 	1.098231e-01 	0.000000e+00 	1.104450e-01 	1.104446e-01 	1.103640e-01 
7.342560e+01 	1.586600e+02 	1.411145e+01 	7.112291e+01 	1.140842e-01 	1.140513e-01 	1.055578e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
2.809182e+02 	3.314285e+02 	1.384662e+01 	3.666369e+01 	1.141911e-01 	1.141570e-01 	1.053567e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.717444e+01 	1.013104e+02 	6.851635e+01 	1.561957e+01 	1.112081e-01 	1.112069e-01 	1.108216e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
9.876694e+02 	1.119406e+03 	5.231463e+01 	7.942178e+01 	1.112907e-01 	1.112887e-01 	1.106642e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
3.717692e+01 	9.847168e+01 	1.960986e+01 	4.168490e+01 	1.126610e-01 	1.126437e-01 	1.081490e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
9.225637e+02 	1.065092e+03 	7.030078e+01 	7.222752e+01 	1.111812e-01 	1.111803e-01 	1.108659e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
2.709104e+01 	1.041536e+02 	1.781455e+01 	5.924796e+01 	1.130001e-01 	1.129792e-01 	1.075322e-01 	0.000000e+00 	1.108918e-01 	1.108915e-01 	1.108105e-01 
4.413462e+01 	1.078641e+02 	2.532545e+01 	3.840399e+01 	1.120326e-01 	1.120223e-01 	1.093031e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
