MD1 	 MD2	 DMP 	 DM3 	 Br(h2->e+e-h1) 	 Br(h2->mu+mu-h1) 	 Br(h2->tau+tau-h1) 	 Br(h2->n+n-h1) 	 Br(h2->Zh1) 	 Br(Z->e+e-) 	 Br(Z->mu+mu-) 	 Br(Z->tau+tau-) 	 Br(Z->n+n-)
9.758303e+01 	1.569746e+02 	1.609893e+01 	4.329263e+01 	2.225864e-02 	2.225812e-02 	2.209148e-02 	4.400041e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
2.627975e+01 	1.103468e+02 	1.935415e+01 	6.471287e+01 	1.862521e-02 	1.862216e-02 	1.850929e-02 	3.681792e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
4.363691e+01 	8.011946e+01 	1.029952e+01 	2.618303e+01 	2.202874e-02 	2.202766e-02 	2.169532e-02 	4.354593e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
2.085934e+02 	2.777442e+02 	5.524822e+01 	1.390259e+01 	3.448581e-02 	3.448513e-02 	3.427299e-02 	6.817079e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
1.056167e+01 	5.627055e+01 	2.724276e+01 	1.846612e+01 	3.226349e-02 	3.226249e-02 	3.193757e-02 	6.377779e-02 	0.000000e+00 	3.410887e-02 	3.410860e-02 	3.403209e-02 	6.742569e-02 
8.998976e+02 	9.302820e+02 	1.153017e+01 	1.885417e+01 	2.888918e-02 	2.888718e-02 	2.828457e-02 	5.710751e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
3.510213e+02 	3.986350e+02 	1.620040e+01 	3.141335e+01 	2.668238e-02 	2.668151e-02 	2.640896e-02 	5.274518e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
1.000115e+01 	8.854065e+01 	2.622991e+01 	5.230959e+01 	2.100189e-02 	2.100155e-02 	2.089241e-02 	4.151609e-02 	0.000000e+00 	3.432754e-02 	3.432727e-02 	3.425026e-02 	6.785795e-02 
2.470540e+01 	1.727234e+02 	6.717526e+01 	8.084277e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	9.686206e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
2.818637e+02 	3.609282e+02 	2.537805e+01 	5.368641e+01 	2.689041e-02 	2.688996e-02 	2.675287e-02 	5.315639e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
4.570308e+02 	5.174882e+02 	2.246750e+01 	3.798994e+01 	2.839220e-02 	2.839153e-02 	2.818280e-02 	5.612510e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
