MD1	DMP	DM3	CrossSection_fb	Br(h2->e+e-h1)_total	Br(h2->mu+mu-h1)_total	Br(h2->tau+tau-h1)_total	Br(h-->e-nu)_total	Br(h-->mu-nu)_total	Br(h-->tau-nu)_total	Br(h+->e+nu)_total	Br(h+->mu+nu)_total	Br(h+->tau+nu)_total
70	20	100	120.82	0.015744189275192	0.015744061153716	0.01570874538401	0.1125898	0.1125733	0.1082749	0.1125898	0.1125733	0.1082749
70	120	100	16.095	0.030406522878912004	0.030406275439776	0.03033807060936	0.11114318888568	0.11114278888572	0.11106158889384	0.11114318888568	0.11114278888572	0.11106158889384
60	80	100	30.765	0.027589683435648004	0.027589458919104	0.027527572537440002	0.1111357	0.1111287	0.1109381	0.1111357	0.1111287	0.1109381
60	120	100	13.309	0.030217287080464002	0.030217041181271997	0.03014926082542	0.1111432	0.1111428	0.1110616	0.1111432	0.1111428	0.1110616
50	80	100	19.935	0.027258563798064	0.027258341976071996	0.02719719832842	0.1111366	0.1111296	0.1109355	0.1111366	0.1111296	0.1109355
50	60	100	24.697	0.024909305168544005	0.024909102464111998	0.024853228435320004	0.1112444	0.1112429	0.1107625	0.1112444	0.1112429	0.1107625
50	40	100	31.005	0.021249565065456003	0.021249392142888	0.02120172727218	0.1114634	0.1114595	0.1103563	0.1114634	0.1114595	0.1103563
50	20	100	39.305	0.01510498943612	0.015104866516259998	0.01507098453485	0.1125945	0.112578	0.1082685	0.1125945	0.112578	0.1082685
50	120	100	13.308	0.029994575972312	0.029994331885475997	0.02992705109261	0.11114318888568	0.11114278888572	0.11106158889384	0.11114318888568	0.11114278888572	0.11106158889384
40	80	100	19.925	0.0268540524084	0.026853833878199996	0.0267935975895	0.111138	0.1111307	0.1109314	0.111138	0.1111307	0.1109314
40	60	100	24.689	0.024423997476848	0.024423798721704	0.024369013285940003	0.1112463	0.1112447	0.1107587	0.1112463	0.1112447	0.1107587
40	40	100	30.974	0.020709872468304	0.020709703937591997	0.02066324965062	0.1114664	0.1114624	0.1103514	0.1114664	0.1114624	0.1103514
40	20	100	39.406	0.014638592249320001	0.014638473124859998	0.01460563731835	0.1125991	0.1125826	0.1082618	0.1125991	0.1125826	0.1082618
40	120	100	13.303	0.0297288207564	0.0297285788322	0.0296618941545	0.1111432	0.1111428	0.1110616	0.1111432	0.1111428	0.1110616
30	80	100	19.878	0.026348795097456003	0.026348580678887998	0.026289477732180003	0.11114	0.1111325	0.1109247	0.11114	0.1111325	0.1109247
30	60	100	24.645	0.023806030666472	0.023805836940156	0.02375243766491	0.1112492	0.1112476	0.1107525	0.1112492	0.1112476	0.1107525
30	40	100	30.999	0.020004774887280002	0.02000461209444	0.019959739410900002	0.1114713	0.1114673	0.1103428	0.1114713	0.1114673	0.1103428
30	20	100	39.414	0.01400230674752	0.014002192800959998	0.0139707842456	0.1126074	0.1125908	0.1082489	0.1126074	0.1125908	0.1082489
30	120	100	13.301	0.029406519827704	0.029406280526292	0.029340318801370002	0.1111432	0.1111428	0.1110616	0.1111432	0.1111428	0.1110616
1	20	100	39.412	0.009302722013268002	0.009302648480982001	0.009281778928848	0.1130133	0.1129919	0.1075447	0.1130133	0.1129919	0.1075447
1	120	100	13.296	0.027920699849952	0.027920472639696	0.02785784375556	0.11114315554272	0.11114275554288	0.11106155557536	0.11114315554272	0.11114275554288	0.11106155557536
80	80	100	19.882	0.028099279565128	0.028099050901643996	0.02803602144559	0.1111343	0.1111275	0.1109412	0.1111343	0.1111275	0.1109412
80	60	100	24.699	0.025893339578336002	0.025893128866127997	0.02583504755108	0.1112414	0.1112399	0.1107677	0.1112414	0.1112399	0.1107677
80	40	100	30.97	0.022309568368552003	0.022309386819996	0.02225934425731	0.1114591	0.1114552	0.1103627	0.1114591	0.1114552	0.1103627
80	20	100	39.305	0.015973179799544	0.015973049814612	0.01593722039657	0.1125884	0.112572	0.1082765	0.1125884	0.112572	0.1082765
80	120	100	13.307	0.030569226853624	0.030568978090451997	0.030500408298969998	0.1111432	0.1111428	0.1110616	0.1111432	0.1111428	0.1110616
70	80	100	19.913	0.027865688723264	0.027865461960671998	0.02780295647192	0.1111349	0.1111281	0.1109399	0.1111349	0.1111281	0.1109399
70	60	100	24.698	0.025623045978880002	0.025622837466239997	0.0255653624464	0.1112422	0.1112407	0.1107665	0.1112422	0.1112407	0.1107665
70	40	100	30.988	0.022022697110328	0.022022517896243998	0.02197311881409	0.1114601	0.1114562	0.1103613	0.1114601	0.1114562	0.1103613
70	20	100	39.418	0.015744189275192	0.015744061153716	0.01570874538401	0.1125898	0.1125733	0.1082749	0.1125898	0.1125733	0.1082749
70	120	100	13.321	0.030406522878912004	0.030406275439776	0.03033807060936	0.11114318888568	0.11114278888572	0.11106158889384	0.11114318888568	0.11114278888572	0.11106158889384
60	80	100	19.893	0.027589683435648004	0.027589458919104	0.027527572537440002	0.1111357	0.1111287	0.1109381	0.1111357	0.1111287	0.1109381
60	60	100	24.701	0.025300655590008003	0.025300449700883996	0.02524369783449	0.1112431	0.1112416	0.1107649	0.1112431	0.1112416	0.1107649
60	40	100	30.997	0.021676376124376	0.021676199728547996	0.02162757747853	0.1114614	0.1114576	0.1103594	0.1114614	0.1114576	0.1103594
60	20	100	39.317	0.015461932097584001	0.015461806273031998	0.01542712363402	0.1125917	0.1125752	0.1082724	0.1125917	0.1125752	0.1082724
30	40	100	71.447	0.020004774887280002	0.02000461209444	0.019959739410900002	0.1114713	0.1114673	0.1103428	0.1114713	0.1114673	0.1103428
30	20	100	120.95	0.01400230674752	0.014002192800959998	0.0139707842456	0.1126074	0.1125908	0.1082489	0.1126074	0.1125908	0.1082489
30	120	100	16.06	0.029406519827704	0.029406280526292	0.029340318801370002	0.1111432	0.1111428	0.1110616	0.1111432	0.1111428	0.1110616
20	80	100	30.733	0.025700205380680005	0.02569999624014	0.025642348144150003	0.1111437	0.1111357	0.1109128	0.1111437	0.1111357	0.1109128
20	60	100	45.454	0.022992273379368003	0.022992086275163998	0.02294051233779	0.1112544	0.1112528	0.110741	0.1112544	0.1112528	0.110741
20	40	100	71.435	0.01904325003408	0.01904309506584	0.019000379177400002	0.1114807	0.1114767	0.1103255	0.1114807	0.1114767	0.1103255
20	20	100	120.93	0.013066259426072	0.01306615297402	0.013036844442989002	0.1126254	0.1126086	0.1082196	0.1126254	0.1126086	0.1082196
20	120	100	16.113	0.029008002269832002	0.029007766211435998	0.028942698400710003	0.1111432	0.1111428	0.1110616	0.1111432	0.1111428	0.1110616
10	80	100	30.719	0.024838318518888	0.024838116392123997	0.02478240159339	0.1111529	0.1111437	0.1108881	0.1111529	0.1111437	0.1108881
10	60	100	45.417	0.021872696480608002	0.021872518487184	0.021823455871240002	0.1112658	0.1112641	0.1107159	0.1112658	0.1112641	0.1107159
10	40	100	71.599	0.017653565337768	0.017653421678363996	0.017613822989789998	0.1115038	0.1114995	0.1102818	0.1115038	0.1114995	0.1102818
10	20	100	120.88	0.01157777218024	0.0115776775436	0.01155170654568	0.1126806	0.1126631	0.1081262	0.1126806	0.1126631	0.1081262
10	120	100	16.072	0.028503522574264	0.028503290621171996	0.02843935440817	0.11114317777136	0.11114277777144	0.11106157778768	0.11114317777136	0.11114277777144	0.11106157778768
1	80	100	19.885	0.023780634298816	0.023780440779167997	0.02372709847048	0.1109557	0.1109331	0.1110899	0.1109557	0.1109331	0.1110899
1	60	100	24.728	0.020435188438672	0.020435022143255998	0.020389183999660002	0.1112969	0.111295	0.1106523	0.1112969	0.111295	0.1106523
1	40	100	30.938	0.015731668679019997	0.015731545123618	0.015696254039906	0.1115834	0.1115783	0.1101322	0.1115834	0.1115783	0.1101322
60	60	100	45.452	0.025300655590008003	0.025300449700883996	0.02524369783449	0.1112431	0.1112416	0.1107649	0.1112431	0.1112416	0.1107649
60	40	100	71.411	0.021676376124376	0.021676199728547996	0.02162757747853	0.1114614	0.1114576	0.1103594	0.1114614	0.1114576	0.1103594
60	20	100	120.88	0.015461932097584001	0.015461806273031998	0.01542712363402	0.1125917	0.1125752	0.1082724	0.1125917	0.1125752	0.1082724
60	120	100	16.056	0.030217287080464002	0.030217041181271997	0.03014926082542	0.1111432	0.1111428	0.1110616	0.1111432	0.1111428	0.1110616
50	80	100	30.699	0.027258563798064	0.027258341976071996	0.02719719832842	0.1111366	0.1111296	0.1109355	0.1111366	0.1111296	0.1109355
50	60	100	45.525	0.024909305168544005	0.024909102464111998	0.024853228435320004	0.1112444	0.1112429	0.1107625	0.1112444	0.1112429	0.1107625
50	40	100	71.383	0.021249565065456003	0.021249392142888	0.02120172727218	0.1114634	0.1114595	0.1103563	0.1114634	0.1114595	0.1103563
50	20	100	120.96	0.01510498943612	0.015104866516259998	0.01507098453485	0.1125945	0.112578	0.1082685	0.1125945	0.112578	0.1082685
50	120	100	16.078	0.029994575972312	0.029994331885475997	0.02992705109261	0.11114318888568	0.11114278888572	0.11106158889384	0.11114318888568	0.11114278888572	0.11106158889384
40	80	100	30.746	0.0268540524084	0.026853833878199996	0.0267935975895	0.111138	0.1111307	0.1109314	0.111138	0.1111307	0.1109314
40	60	100	45.388	0.024423997476848	0.024423798721704	0.024369013285940003	0.1112463	0.1112447	0.1107587	0.1112463	0.1112447	0.1107587
40	40	100	71.343	0.020709872468304	0.020709703937591997	0.02066324965062	0.1114664	0.1114624	0.1103514	0.1114664	0.1114624	0.1103514
40	20	100	121.0	0.014638592249320001	0.014638473124859998	0.01460563731835	0.1125991	0.1125826	0.1082618	0.1125991	0.1125826	0.1082618
40	120	100	16.08	0.0297288207564	0.0297285788322	0.0296618941545	0.1111432	0.1111428	0.1110616	0.1111432	0.1111428	0.1110616
30	80	100	30.761	0.026348795097456003	0.026348580678887998	0.026289477732180003	0.11114	0.1111325	0.1109247	0.11114	0.1111325	0.1109247
30	60	100	45.5	0.023806030666472	0.023805836940156	0.02375243766491	0.1112492	0.1112476	0.1107525	0.1112492	0.1112476	0.1107525
20	80	100	19.911	0.025700205380680005	0.02569999624014	0.025642348144150003	0.1111437	0.1111357	0.1109128	0.1111437	0.1111357	0.1109128
20	60	100	24.685	0.022992273379368003	0.022992086275163998	0.02294051233779	0.1112544	0.1112528	0.110741	0.1112544	0.1112528	0.110741
20	40	100	30.973	0.01904325003408	0.01904309506584	0.019000379177400002	0.1114807	0.1114767	0.1103255	0.1114807	0.1114767	0.1103255
20	20	100	39.371	0.013066259426072	0.01306615297402	0.013036844442989002	0.1126254	0.1126086	0.1082196	0.1126254	0.1126086	0.1082196
20	120	100	13.314	0.029008002269832002	0.029007766211435998	0.028942698400710003	0.1111432	0.1111428	0.1110616	0.1111432	0.1111428	0.1110616
10	80	100	19.896	0.024838318518888	0.024838116392123997	0.02478240159339	0.1111529	0.1111437	0.1108881	0.1111529	0.1111437	0.1108881
10	60	100	24.701	0.021872696480608002	0.021872518487184	0.021823455871240002	0.1112658	0.1112641	0.1107159	0.1112658	0.1112641	0.1107159
10	40	100	31.006	0.017653565337768	0.017653421678363996	0.017613822989789998	0.1115038	0.1114995	0.1102818	0.1115038	0.1114995	0.1102818
10	20	100	39.34	0.01157777218024	0.0115776775436	0.01155170654568	0.1126806	0.1126631	0.1081262	0.1126806	0.1126631	0.1081262
10	120	100	13.309	0.028503522574264	0.028503290621171996	0.02843935440817	0.11114317777136	0.11114277777144	0.11106157778768	0.11114317777136	0.11114277777144	0.11106157778768
