MD1	DMP	DM3	CrossSection_fb	Br(h2->e+e-h1)_total	Br(h2->mu+mu-h1)_total	Br(h2->tau+tau-h1)_total	Br(h-->e-nu)_total	Br(h-->mu-nu)_total	Br(h-->tau-nu)_total	Br(h+->e+nu)_total	Br(h+->mu+nu)_total	Br(h+->tau+nu)_total
1	120	1	16.09	0.03440776	0.03440748	0.0343303	0.11114315554272	0.11114275554288	0.11106155557536	0.11114315554272	0.11114275554288	0.11106155557536
1	20	1	120.86	0.03680636	0.03680234	0.03547069	0.1130133	0.1129919	0.1075447	0.1130133	0.1129919	0.1075447
1	40	1	71.319	0.03504302	0.03504182	0.03463523	0.1115834	0.1115783	0.1101322	0.1115834	0.1115783	0.1101322
1	60	1	45.521	0.03464893	0.03464821	0.0344036	0.1112969	0.111295	0.1106523	0.1112969	0.111295	0.1106523
1	80	1	30.752	0.03448703	0.03448649	0.03430616	0.1109557	0.1109331	0.1110899	0.1109557	0.1109331	0.1110899
50	80	1	65.311	0.03445114	0.03445059	0.03428136	0.1111366	0.1111296	0.1109355	0.1111366	0.1111296	0.1109355
60	120	1	38.93	0.034407756559224005	0.034407476559252	0.03433029656697	0.1111432	0.1111428	0.1110616	0.1111432	0.1111428	0.1110616
60	80	1	65.38	0.03444984	0.03444929	0.03428015	0.1111357	0.1111287	0.1109381	0.1111357	0.1111287	0.1109381
60	60	1	87.059	0.03458707	0.03458628	0.03433773	0.1112431	0.1112416	0.1107649	0.1112431	0.1112416	0.1107649
60	40	1	118.54	0.03492295	0.03492153	0.03448082	0.1114614	0.1114576	0.1103594	0.1114614	0.1114576	0.1103594
60	20	1	164.24	0.03652985	0.03652492	0.03504414	0.1125917	0.1125752	0.1082724	0.1125917	0.1125752	0.1082724
40	40	1	118.31	0.03492813	0.03492671	0.03449015	0.1114664	0.1114624	0.1103514	0.1114664	0.1114624	0.1103514
40	20	1	164.45	0.03653477	0.03652986	0.0350563	0.1125991	0.1125826	0.1082618	0.1125991	0.1125826	0.1082618
40	120	1	38.845	0.034407756559224005	0.034407476559252	0.03433029656697	0.1111432	0.1111428	0.1110616	0.1111432	0.1111428	0.1110616
30	80	1	65.354	0.03445499	0.03445445	0.03428477	0.11114	0.1111325	0.1109247	0.11114	0.1111325	0.1109247
50	20	1	164.52	0.03653192	0.03652696	0.03504891	0.1125945	0.112578	0.1082685	0.1125945	0.112578	0.1082685
50	120	1	38.816	0.034407756559224005	0.034407476559252	0.03433029656697	0.11114318888568	0.11114278888572	0.11106158889384	0.11114318888568	0.11114278888572	0.11106158889384
40	80	1	65.35	0.03445276	0.03445222	0.03428284	0.111138	0.1111307	0.1109314	0.111138	0.1111307	0.1109314
40	60	1	87.069	0.03459114	0.03459036	0.03434354	0.1112463	0.1112447	0.1107587	0.1112463	0.1112447	0.1107587
50	40	1	118.06	0.03492514	0.03492373	0.03448466	0.1114634	0.1114595	0.1103563	0.1114634	0.1114595	0.1103563
50	60	1	87.025	0.03458883	0.03458804	0.0343402	0.1112444	0.1112429	0.1107625	0.1112444	0.1112429	0.1107625
10	120	10	34.824	0.034407701506808004	0.034407421507284	0.03433024163849	0.11114317777136	0.11114277777144	0.11106157778768	0.11114317777136	0.11114277777144	0.11106157778768
10	20	10	141.41	0.03444623	0.03444405	0.03376611	0.1126806	0.1126631	0.1081262	0.1126806	0.1126631	0.1081262
10	40	10	102.69	0.03464775	0.03464681	0.03433881	0.1115038	0.1114995	0.1102818	0.1115038	0.1114995	0.1102818
10	60	10	76.466	0.03451553	0.0345149	0.0343102	0.1112658	0.1112641	0.1107159	0.1112658	0.1112641	0.1107159
10	80	10	57.761	0.03439613	0.03439135	0.03420794	0.1111529	0.1111437	0.1108881	0.1111529	0.1111437	0.1108881
20	120	10	34.802	0.034407729033016005	0.034407449033268	0.03433026910273	0.1111432	0.1111428	0.1110616	0.1111432	0.1111428	0.1110616
50	40	10	102.67	0.0346805	0.03467946	0.03435447	0.1114634	0.1114595	0.1103563	0.1114634	0.1114595	0.1103563
50	60	10	76.456	0.03450852	0.03450785	0.03430069	0.1112444	0.1112429	0.1107625	0.1112444	0.1112429	0.1107625
50	80	10	57.831	0.03438404	0.03438124	0.03423344	0.1111366	0.1111296	0.1109355	0.1111366	0.1111296	0.1109355
60	120	10	34.902	0.034407739355344004	0.034407459355511996	0.03433027940182	0.1111432	0.1111428	0.1110616	0.1111432	0.1111428	0.1110616
60	20	10	141.4	0.03495165	0.03494922	0.03421077	0.1125917	0.1125752	0.1082724	0.1125917	0.1125752	0.1082724
60	40	10	102.71	0.03468235	0.03468131	0.03435509	0.1114614	0.1114576	0.1103594	0.1114614	0.1114576	0.1103594
60	60	10	76.434	0.03450778	0.03450711	0.03429959	0.1112431	0.1112416	0.1107649	0.1112431	0.1112416	0.1107649
60	80	10	57.796	0.03438196	0.03439294	0.03423352	0.1111357	0.1111287	0.1109381	0.1111357	0.1111287	0.1109381
70	120	10	34.872	0.034407746236896	0.034407466237007994	0.03433028626788	0.11114318888568	0.11114278888572	0.11106158889384	0.11114318888568	0.11114278888572	0.11106158889384
70	20	10	141.4	0.03497107	0.03496863	0.03422825	0.1125898	0.1125733	0.1082749	0.1125898	0.1125733	0.1082749
70	40	10	102.81	0.03468358	0.03468254	0.03435545	0.1114601	0.1114562	0.1103613	0.1114601	0.1114562	0.1103613
70	60	10	76.286	0.0345071	0.03450644	0.03429865	0.1112422	0.1112407	0.1107665	0.1112422	0.1112407	0.1107665
70	80	10	57.876	0.03439165	0.0343885	0.03423022	0.1111349	0.1111281	0.1109399	0.1111349	0.1111281	0.1109399
80	120	10	34.866	0.03440774279612	0.034407462796259995	0.034330282834850005	0.1111432	0.1111428	0.1110616	0.1111432	0.1111428	0.1110616
80	20	10	141.44	0.03498575	0.0349833	0.03424155	0.1125884	0.112572	0.1082765	0.1125884	0.112572	0.1082765
80	40	10	102.79	0.03468442	0.03468337	0.03435565	0.1114591	0.1114552	0.1103627	0.1114591	0.1114552	0.1103627
20	20	10	141.43	0.03470971	0.0347074	0.03399784	0.1126254	0.1126086	0.1082196	0.1126254	0.1126086	0.1082196
20	40	10	102.82	0.03466453	0.03466355	0.03434787	0.1114807	0.1114767	0.1103255	0.1114807	0.1114767	0.1103255
20	60	10	76.289	0.03451197	0.03451133	0.03430615	0.1112544	0.1112528	0.110741	0.1112544	0.1112528	0.110741
20	80	10	57.903	0.03439696	0.03439317	0.0342295	0.1111437	0.1111357	0.1109128	0.1111437	0.1111357	0.1109128
30	120	10	34.865	0.034407729033016005	0.034407449033268	0.03433026910273	0.1111432	0.1111428	0.1110616	0.1111432	0.1111428	0.1110616
30	20	10	141.3	0.03482323	0.03482085	0.03409711	0.1126074	0.1125908	0.1082489	0.1126074	0.1125908	0.1082489
30	40	10	102.74	0.0346729	0.03467189	0.03435155	0.1114713	0.1114673	0.1103428	0.1114713	0.1114673	0.1103428
30	60	10	76.384	0.03451039	0.03450974	0.03430372	0.1112492	0.1112476	0.1107525	0.1112492	0.1112476	0.1107525
30	80	10	57.876	0.03439301	0.03438974	0.03423422	0.11114	0.1111325	0.1109247	0.11114	0.1111325	0.1109247
40	120	10	34.867	0.034407739355344004	0.034407459355511996	0.03433027940182	0.1111432	0.1111428	0.1110616	0.1111432	0.1111428	0.1110616
40	20	10	141.53	0.03488564	0.03488323	0.03415203	0.1125991	0.1125826	0.1082618	0.1125991	0.1125826	0.1082618
40	40	10	102.72	0.03467762	0.03467659	0.03435342	0.1114664	0.1114624	0.1103514	0.1114664	0.1114624	0.1103514
40	60	10	76.345	0.03450935	0.0345087	0.03430202	0.1112463	0.1112447	0.1107587	0.1112463	0.1112447	0.1107587
40	80	10	57.783	0.03439056	0.03438757	0.03423676	0.111138	0.1111307	0.1109314	0.111138	0.1111307	0.1109314
50	120	10	34.861	0.034407735914568006	0.034407455914764	0.03433027596879	0.11114318888568	0.11114278888572	0.11106158889384	0.11114318888568	0.11114278888572	0.11106158889384
50	20	10	141.27	0.03492485	0.03492242	0.03418681	0.1125945	0.112578	0.1082685	0.1125945	0.112578	0.1082685
20	60	10	45.457	0.03451197	0.03451133	0.03430615	0.1112544	0.1112528	0.110741	0.1112544	0.1112528	0.110741
20	40	10	71.514	0.03466453	0.03466355	0.03434787	0.1114807	0.1114767	0.1103255	0.1114807	0.1114767	0.1103255
20	20	10	121.02	0.03470971	0.0347074	0.03399784	0.1126254	0.1126086	0.1082196	0.1126254	0.1126086	0.1082196
20	120	10	16.083	0.034407729033016005	0.034407449033268	0.03433026910273	0.1111432	0.1111428	0.1110616	0.1111432	0.1111428	0.1110616
10	80	10	30.798	0.03439613	0.03439135	0.03420794	0.1111529	0.1111437	0.1108881	0.1111529	0.1111437	0.1108881
10	60	10	45.41	0.03451553	0.0345149	0.0343102	0.1112658	0.1112641	0.1107159	0.1112658	0.1112641	0.1107159
10	40	10	71.391	0.03464775	0.03464681	0.03433881	0.1115038	0.1114995	0.1102818	0.1115038	0.1114995	0.1102818
10	20	10	121.02	0.03444623	0.03444405	0.03376611	0.1126806	0.1126631	0.1081262	0.1126806	0.1126631	0.1081262
10	120	10	16.07	0.034407701506808004	0.034407421507284	0.03433024163849	0.11114317777136	0.11114277777144	0.11106157778768	0.11114317777136	0.11114277777144	0.11106157778768
1	80	10	57.914	0.03441567	0.03440209	0.03425217	0.1109557	0.1109331	0.1110899	0.1109557	0.1109331	0.1110899
1	60	10	76.275	0.03452949	0.03452887	0.03431824	0.1112969	0.111295	0.1106523	0.1112969	0.111295	0.1106523
1	40	10	102.69	0.03461754	0.03461663	0.0343084	0.1115834	0.1115783	0.1101322	0.1115834	0.1115783	0.1101322
1	20	10	141.39	0.03358668	0.03358476	0.03295021	0.1130133	0.1129919	0.1075447	0.1130133	0.1129919	0.1075447
1	120	10	34.84	0.034407667099048	0.034407387099803996	0.03433020730819	0.11114315554272	0.11114275554288	0.11106155557536	0.11114315554272	0.11114275554288	0.11106155557536
80	80	10	57.865	0.03439055	0.03438745	0.03423004	0.1111343	0.1111275	0.1109412	0.1111343	0.1111275	0.1109412
80	60	10	76.339	0.03450649	0.03450582	0.03429782	0.1112414	0.1112399	0.1107677	0.1112414	0.1112399	0.1107677
20	80	10	30.768	0.03439696	0.03439317	0.0342295	0.1111437	0.1111357	0.1109128	0.1111437	0.1111357	0.1109128
30	120	10	16.074	0.034407729033016005	0.034407449033268	0.03433026910273	0.1111432	0.1111428	0.1110616	0.1111432	0.1111428	0.1110616
30	20	10	121.02	0.03482323	0.03482085	0.03409711	0.1126074	0.1125908	0.1082489	0.1126074	0.1125908	0.1082489
30	40	10	71.284	0.0346729	0.03467189	0.03435155	0.1114713	0.1114673	0.1103428	0.1114713	0.1114673	0.1103428
30	60	10	45.479	0.03451039	0.03450974	0.03430372	0.1112492	0.1112476	0.1107525	0.1112492	0.1112476	0.1107525
