MD1 	 MD2	 DMP 	 DM2 	 Br(h+->e-nu) 	 Br(h+->mu-nu) 	 Br(h+->tau-nu) 	 Br(h+->W+h1) 	 Br(W+->e-nu) 	Br(W+->mu-nu) 	 Br(W+->tau-nu)
1.000000e+01 	7.100000e+01 	6.000000e+01 	1.000000e+00 	1.112658e-01 	1.112641e-01 	1.107159e-01 	0.000000e+00 	1.111423e-01 	1.111420e-01 	1.110608e-01 
1.000000e+01 	8.000000e+01 	6.000000e+01 	1.000000e+01 	1.112658e-01 	1.112641e-01 	1.107159e-01 	0.000000e+00 	1.111423e-01 	1.111420e-01 	1.110608e-01 
1.000000e+01 	1.700000e+02 	6.000000e+01 	1.000000e+02 	1.112658e-01 	1.112641e-01 	1.107159e-01 	0.000000e+00 	1.111423e-01 	1.111420e-01 	1.110608e-01 
1.000000e+01 	9.100000e+01 	8.000000e+01 	1.000000e+00 	1.111529e-01 	1.111437e-01 	1.108881e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.000000e+01 	1.000000e+02 	8.000000e+01 	1.000000e+01 	1.111529e-01 	1.111437e-01 	1.108881e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.000000e+01 	1.900000e+02 	8.000000e+01 	1.000000e+02 	1.111529e-01 	1.111437e-01 	1.108881e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.000000e+01 	1.310000e+02 	1.200000e+02 	1.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	9.999998e-01 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.000000e+01 	1.400000e+02 	1.200000e+02 	1.000000e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	9.999998e-01 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.000000e+01 	2.300000e+02 	1.200000e+02 	1.000000e+02 	0.000000e+00 	0.000000e+00 	0.000000e+00 	9.999998e-01 	1.111432e-01 	1.111428e-01 	1.110616e-01 
2.000000e+01 	2.600000e+01 	5.000000e+00 	1.000000e+00 	1.339028e-01 	1.336038e-01 	7.310179e-02 	0.000000e+00 	1.080585e-01 	1.080582e-01 	1.079792e-01 
2.000000e+01 	3.500000e+01 	5.000000e+00 	1.000000e+01 	1.339028e-01 	1.336038e-01 	7.310179e-02 	0.000000e+00 	1.085683e-01 	1.085679e-01 	1.084886e-01 
2.000000e+01 	1.250000e+02 	5.000000e+00 	1.000000e+02 	1.339028e-01 	1.336038e-01 	7.310179e-02 	0.000000e+00 	1.094234e-01 	1.094230e-01 	1.093431e-01 
2.000000e+01 	4.100000e+01 	2.000000e+01 	1.000000e+00 	1.126254e-01 	1.126086e-01 	1.082196e-01 	0.000000e+00 	1.103223e-01 	1.103219e-01 	1.102414e-01 
2.000000e+01 	5.000000e+01 	2.000000e+01 	1.000000e+01 	1.126254e-01 	1.126086e-01 	1.082196e-01 	0.000000e+00 	1.103223e-01 	1.103219e-01 	1.102414e-01 
2.000000e+01 	1.400000e+02 	2.000000e+01 	1.000000e+02 	1.126254e-01 	1.126086e-01 	1.082196e-01 	0.000000e+00 	1.103223e-01 	1.103219e-01 	1.102414e-01 
2.000000e+01 	6.100000e+01 	4.000000e+01 	1.000000e+00 	1.114807e-01 	1.114767e-01 	1.103255e-01 	0.000000e+00 	1.111413e-01 	1.111409e-01 	1.110598e-01 
2.000000e+01 	7.000000e+01 	4.000000e+01 	1.000000e+01 	1.114807e-01 	1.114767e-01 	1.103255e-01 	0.000000e+00 	1.111413e-01 	1.111409e-01 	1.110598e-01 
2.000000e+01 	1.600000e+02 	4.000000e+01 	1.000000e+02 	1.114807e-01 	1.114767e-01 	1.103255e-01 	0.000000e+00 	1.111413e-01 	1.111409e-01 	1.110598e-01 
2.000000e+01 	8.100000e+01 	6.000000e+01 	1.000000e+00 	1.112544e-01 	1.112528e-01 	1.107410e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
2.000000e+01 	9.000000e+01 	6.000000e+01 	1.000000e+01 	1.112544e-01 	1.112528e-01 	1.107410e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
2.000000e+01 	1.800000e+02 	6.000000e+01 	1.000000e+02 	1.112544e-01 	1.112528e-01 	1.107410e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
2.000000e+01 	1.010000e+02 	8.000000e+01 	1.000000e+00 	1.111437e-01 	1.111357e-01 	1.109128e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
2.000000e+01 	1.100000e+02 	8.000000e+01 	1.000000e+01 	1.111437e-01 	1.111357e-01 	1.109128e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
2.000000e+01 	2.000000e+02 	8.000000e+01 	1.000000e+02 	1.111437e-01 	1.111357e-01 	1.109128e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
2.000000e+01 	1.410000e+02 	1.200000e+02 	1.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	1.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
2.000000e+01 	1.500000e+02 	1.200000e+02 	1.000000e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	1.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
2.000000e+01 	2.400000e+02 	1.200000e+02 	1.000000e+02 	0.000000e+00 	0.000000e+00 	0.000000e+00 	1.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
3.000000e+01 	3.600000e+01 	5.000000e+00 	1.000000e+00 	1.338797e-01 	1.335812e-01 	7.312469e-02 	0.000000e+00 	1.102075e-01 	1.102072e-01 	1.101267e-01 
3.000000e+01 	4.500000e+01 	5.000000e+00 	1.000000e+01 	1.338797e-01 	1.335812e-01 	7.312469e-02 	0.000000e+00 	1.105186e-01 	1.105182e-01 	1.104375e-01 
