MD1 	 MD2	 DMP 	 DM2 	 Br(h+->e+nu) 	 Br(h+->mu+nu) 	 Br(h+->tau+nu) 	 Br(h+->W-h1) 	 Br(W-->e+nu) 	Br(W-->mu+nu) 	 Br(W-->tau+nu)
1.872960e+01 	4.649901e+01 	1.562404e+01 	1.214537e+01 	1.135830e-01 	1.135557e-01 	1.064777e-01 	0.000000e+00 	1.099223e-01 	1.099220e-01 	1.098417e-01 
2.396780e+02 	3.088818e+02 	5.068055e+01 	1.852326e+01 	1.113087e-01 	1.113065e-01 	1.106378e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.139088e+02 	2.190918e+02 	6.024929e+01 	4.493366e+01 	1.112383e-01 	1.112369e-01 	1.107725e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
3.535016e+02 	4.581702e+02 	8.072826e+01 	2.394036e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	1.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.263523e+01 	1.263362e+02 	4.498949e+01 	6.871152e+01 	1.114096e-01 	1.114063e-01 	1.104555e-01 	0.000000e+00 	1.109420e-01 	1.109416e-01 	1.108606e-01 
8.154705e+02 	9.358538e+02 	3.306461e+01 	8.731868e+01 	1.116276e-01 	1.116218e-01 	1.100369e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
2.377500e+01 	8.749770e+01 	5.349683e+01 	1.022588e+01 	1.113003e-01 	1.112983e-01 	1.106581e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.181711e+01 	5.984903e+01 	2.229527e+01 	2.573665e+01 	1.123660e-01 	1.123519e-01 	1.086992e-01 	0.000000e+00 	1.096496e-01 	1.096493e-01 	1.095692e-01 
1.981840e+01 	5.860898e+01 	2.607008e+01 	1.272050e+01 	1.120037e-01 	1.119937e-01 	1.093609e-01 	0.000000e+00 	1.106457e-01 	1.106453e-01 	1.105645e-01 
6.390460e+01 	9.555388e+01 	1.945057e+01 	1.219871e+01 	1.126763e-01 	1.126589e-01 	1.081168e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
2.269466e+02 	3.140661e+02 	3.191981e+01 	5.519970e+01 	1.116710e-01 	1.116647e-01 	1.099631e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
2.897741e+02 	3.514701e+02 	2.614679e+01 	3.554921e+01 	1.119606e-01 	1.119511e-01 	1.094248e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
3.977263e+02 	5.082641e+02 	1.279844e+01 	9.773928e+01 	1.147129e-01 	1.146730e-01 	1.044182e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.526083e+01 	9.389355e+01 	4.997855e+01 	2.865416e+01 	1.113426e-01 	1.113401e-01 	1.105790e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
8.105837e+02 	9.090249e+02 	3.827879e+01 	6.016242e+01 	1.114866e-01 	1.114824e-01 	1.102996e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.739121e+01 	7.586194e+01 	4.092248e+01 	1.754825e+01 	1.114669e-01 	1.114631e-01 	1.103507e-01 	0.000000e+00 	1.110684e-01 	1.110680e-01 	1.109869e-01 
4.704215e+02 	5.489339e+02 	5.573641e+01 	2.277599e+01 	1.112645e-01 	1.112627e-01 	1.107169e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.748698e+01 	8.100102e+01 	4.499830e+01 	1.851574e+01 	1.114006e-01 	1.113974e-01 	1.104729e-01 	0.000000e+00 	1.111413e-01 	1.111410e-01 	1.110598e-01 
1.343747e+02 	2.293734e+02 	6.542738e+01 	2.957129e+01 	1.112091e-01 	1.112080e-01 	1.108256e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
6.807119e+02 	7.754269e+02 	2.029384e+01 	7.442122e+01 	1.125372e-01 	1.125213e-01 	1.083580e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.644898e+02 	2.638238e+02 	6.676793e+01 	3.256605e+01 	1.112019e-01 	1.112008e-01 	1.108381e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.212048e+01 	1.450266e+02 	7.245115e+01 	6.045497e+01 	1.111920e-01 	1.111910e-01 	1.108434e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.136059e+02 	1.415836e+02 	1.148279e+01 	1.649498e+01 	1.155829e-01 	1.155332e-01 	1.028753e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.166986e+01 	1.191033e+02 	3.856863e+01 	6.886481e+01 	1.115287e-01 	1.115241e-01 	1.102365e-01 	0.000000e+00 	1.106045e-01 	1.106041e-01 	1.105233e-01 
2.780298e+01 	1.470387e+02 	8.342875e+01 	3.580700e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	1.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.199777e+02 	1.531917e+02 	1.659969e+01 	1.661434e+01 	1.132571e-01 	1.132333e-01 	1.070523e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
2.095898e+02 	2.494323e+02 	1.359819e+01 	2.624434e+01 	1.143051e-01 	1.142698e-01 	1.051532e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
2.922046e+02 	3.853429e+02 	7.961620e+01 	1.352207e+01 	1.111266e-01 	1.111234e-01 	1.109449e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
7.587756e+01 	1.583561e+02 	1.077946e+01 	7.169910e+01 	1.161817e-01 	1.161252e-01 	1.018195e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.731331e+02 	2.728823e+02 	5.323843e+01 	4.651086e+01 	1.112867e-01 	1.112848e-01 	1.106806e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.488607e+02 	1.947232e+02 	2.867883e+01 	1.718364e+01 	1.118142e-01 	1.118063e-01 	1.096999e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.436863e+02 	1.770685e+02 	2.185869e+01 	1.152350e+01 	1.123412e-01 	1.123275e-01 	1.087270e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.255197e+01 	7.548636e+01 	3.341768e+01 	2.951672e+01 	1.116684e-01 	1.116623e-01 	1.099795e-01 	0.000000e+00 	1.103996e-01 	1.103993e-01 	1.103186e-01 
7.361352e+01 	1.553561e+02 	3.007711e+01 	5.166544e+01 	1.117519e-01 	1.117447e-01 	1.098193e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
