Mh	DMP	CrossSection_fb	 	~h-->N1,e1,~h1	~h-->N2,e2,~h1	~h-->N3,e3,~h1	~h+->n1,E1,~h1	~h+->n2,E2,~h1	~h+->n3,E3,~h1	totalWidth	brh2	brhp	brhm	cs_total
120	30	3.492400e+01	2.466800e-02	2.466900e-02	2.443500e-02	NaN	NaN	NaN	NaN	NaN	NaN	7.377200e-02	1.000000e+00	NaN	NaN	3.492400e+01
120	40	3.097300e+01	3.583900e-02	3.575900e-02	3.587700e-02	NaN	NaN	NaN	NaN	NaN	NaN	1.074750e-01	1.000000e+00	NaN	NaN	3.097300e+01
120	50	2.759000e+01	4.912600e-02	4.907500e-02	4.904700e-02	NaN	NaN	NaN	NaN	NaN	NaN	1.472480e-01	1.000000e+00	NaN	NaN	2.759000e+01
120	60	2.468500e+01	6.409400e-02	6.404000e-02	6.361500e-02	NaN	NaN	NaN	NaN	NaN	NaN	1.917490e-01	1.000000e+00	NaN	NaN	2.468500e+01
120	70	2.211300e+01	8.101100e-02	8.170000e-02	8.101800e-02	NaN	NaN	NaN	NaN	NaN	NaN	2.437290e-01	1.000000e+00	NaN	NaN	2.211300e+01
120	80	1.991100e+01	9.970000e-02	1.004500e-01	1.006800e-01	NaN	NaN	NaN	NaN	NaN	NaN	3.008300e-01	1.000000e+00	NaN	NaN	1.991100e+01
120	90	1.794500e+01	1.206600e-01	1.218400e-01	1.218700e-01	NaN	NaN	NaN	NaN	NaN	NaN	3.643700e-01	1.000000e+00	NaN	NaN	1.794500e+01
130	10	4.451100e+01	7.962000e-03	7.958000e-03	7.945700e-03	NaN	NaN	NaN	NaN	NaN	NaN	2.386570e-02	1.000000e+00	NaN	NaN	4.451100e+01
130	100	1.621300e+01	1.450500e-01	1.456400e-01	1.456100e-01	NaN	NaN	NaN	NaN	NaN	NaN	4.363000e-01	1.000000e+00	NaN	NaN	1.621300e+01
130	110	1.464400e+01	1.714500e-01	1.700500e-01	1.699100e-01	NaN	NaN	NaN	NaN	NaN	NaN	5.114100e-01	1.000000e+00	NaN	NaN	1.464400e+01
130	120	1.330100e+01	1.951500e-01	1.992000e-01	2.006100e-01	NaN	NaN	NaN	NaN	NaN	NaN	5.949600e-01	1.000000e+00	NaN	NaN	1.330100e+01
130	20	3.941400e+01	1.526700e-02	1.527900e-02	1.522700e-02	NaN	NaN	NaN	NaN	NaN	NaN	4.577300e-02	1.000000e+00	NaN	NaN	3.941400e+01
130	30	3.480000e+01	2.471700e-02	2.467500e-02	2.461500e-02	NaN	NaN	NaN	NaN	NaN	NaN	7.400700e-02	1.000000e+00	NaN	NaN	3.480000e+01
130	40	3.099900e+01	3.579200e-02	3.566300e-02	3.580400e-02	NaN	NaN	NaN	NaN	NaN	NaN	1.072590e-01	1.000000e+00	NaN	NaN	3.099900e+01
130	50	2.760000e+01	4.920700e-02	4.922200e-02	4.846900e-02	NaN	NaN	NaN	NaN	NaN	NaN	1.468980e-01	1.000000e+00	NaN	NaN	2.760000e+01
130	60	2.464500e+01	6.461100e-02	6.534500e-02	6.398400e-02	NaN	NaN	NaN	NaN	NaN	NaN	1.939400e-01	1.000000e+00	NaN	NaN	2.464500e+01
130	70	2.211100e+01	8.121700e-02	8.119700e-02	8.119300e-02	NaN	NaN	NaN	NaN	NaN	NaN	2.436070e-01	1.000000e+00	NaN	NaN	2.211100e+01
130	80	1.987800e+01	1.004600e-01	1.007400e-01	1.001100e-01	NaN	NaN	NaN	NaN	NaN	NaN	3.013100e-01	1.000000e+00	NaN	NaN	1.987800e+01
130	90	1.793000e+01	1.216400e-01	1.212700e-01	1.216600e-01	NaN	NaN	NaN	NaN	NaN	NaN	3.645700e-01	1.000000e+00	NaN	NaN	1.793000e+01
140	10	4.458900e+01	7.952300e-03	7.981700e-03	7.932000e-03	NaN	NaN	NaN	NaN	NaN	NaN	2.386600e-02	1.000000e+00	NaN	NaN	4.458900e+01
140	100	1.619800e+01	1.447500e-01	1.450900e-01	1.443700e-01	NaN	NaN	NaN	NaN	NaN	NaN	4.342100e-01	1.000000e+00	NaN	NaN	1.619800e+01
140	110	1.466300e+01	1.710200e-01	1.704600e-01	1.696000e-01	NaN	NaN	NaN	NaN	NaN	NaN	5.110800e-01	1.000000e+00	NaN	NaN	1.466300e+01
140	120	1.330300e+01	1.991000e-01	1.991500e-01	1.969400e-01	NaN	NaN	NaN	NaN	NaN	NaN	5.951900e-01	1.000000e+00	NaN	NaN	1.330300e+01
140	20	3.940600e+01	1.532000e-02	1.532500e-02	1.527500e-02	NaN	NaN	NaN	NaN	NaN	NaN	4.592000e-02	1.000000e+00	NaN	NaN	3.940600e+01
140	30	3.480300e+01	2.449500e-02	2.468800e-02	2.454500e-02	NaN	NaN	NaN	NaN	NaN	NaN	7.372800e-02	1.000000e+00	NaN	NaN	3.480300e+01
140	40	3.097400e+01	3.574800e-02	3.563300e-02	3.571400e-02	NaN	NaN	NaN	NaN	NaN	NaN	1.070950e-01	1.000000e+00	NaN	NaN	3.097400e+01
140	50	2.762300e+01	4.860000e-02	4.922800e-02	4.903700e-02	NaN	NaN	NaN	NaN	NaN	NaN	1.468650e-01	1.000000e+00	NaN	NaN	2.762300e+01
140	60	2.468900e+01	6.403800e-02	6.458000e-02	6.415000e-02	NaN	NaN	NaN	NaN	NaN	NaN	1.927680e-01	1.000000e+00	NaN	NaN	2.468900e+01
140	70	2.217100e+01	8.191700e-02	8.139800e-02	8.078900e-02	NaN	NaN	NaN	NaN	NaN	NaN	2.441040e-01	1.000000e+00	NaN	NaN	2.217100e+01
