MD1	DMP	DM3	CrossSection_fb	~h2->e1,E1,~h1	~h2->e2,E2,~h1	~h2->e3,E3,~h1	~h-->N1,e1,~h1	~h-->N2,e2,~h1	~h-->N3,e3,~h1	~h+->n1,E1,~h1	~h+->n2,E2,~h1	~h+->n3,E3,~h1
0	10	100	4.465400e+01	7.964100e-03	7.949600e-03	7.948600e-03	NaN	NaN	NaN	NaN	NaN	NaN
0	100	100	1.617600e+01	1.447900e-01	1.449500e-01	1.440900e-01	NaN	NaN	NaN	NaN	NaN	NaN
0	110	100	1.468200e+01	1.699600e-01	1.721500e-01	1.707300e-01	NaN	NaN	NaN	NaN	NaN	NaN
0	120	100	1.333300e+01	1.994200e-01	2.070200e-01	1.981700e-01	NaN	NaN	NaN	NaN	NaN	NaN
0	20	100	3.926900e+01	1.531200e-02	1.526000e-02	1.522600e-02	NaN	NaN	NaN	NaN	NaN	NaN
0	30	100	3.484300e+01	2.469500e-02	2.462300e-02	2.456500e-02	NaN	NaN	NaN	NaN	NaN	NaN
0	40	100	3.099300e+01	3.611900e-02	3.569700e-02	3.563400e-02	NaN	NaN	NaN	NaN	NaN	NaN
0	50	100	2.761600e+01	4.885000e-02	4.910800e-02	4.913300e-02	NaN	NaN	NaN	NaN	NaN	NaN
0	60	100	2.465300e+01	6.398000e-02	6.407500e-02	6.426800e-02	NaN	NaN	NaN	NaN	NaN	NaN
0	70	100	2.210900e+01	8.030000e-02	8.136500e-02	8.074500e-02	NaN	NaN	NaN	NaN	NaN	NaN
0	80	100	1.992100e+01	1.007400e-01	1.001900e-01	1.007800e-01	NaN	NaN	NaN	NaN	NaN	NaN
0	90	100	1.793600e+01	1.214200e-01	1.210900e-01	1.203600e-01	NaN	NaN	NaN	NaN	NaN	NaN
10	10	100	4.455800e+01	7.967200e-03	7.952000e-03	7.944200e-03	NaN	NaN	NaN	NaN	NaN	NaN
10	100	100	1.621200e+01	1.443600e-01	1.453100e-01	1.440700e-01	NaN	NaN	NaN	NaN	NaN	NaN
10	110	100	1.465700e+01	1.711500e-01	1.708900e-01	1.708200e-01	NaN	NaN	NaN	NaN	NaN	NaN
10	120	100	1.330900e+01	1.979900e-01	1.987200e-01	1.971500e-01	NaN	NaN	NaN	NaN	NaN	NaN
10	20	100	3.934000e+01	1.523100e-02	1.531700e-02	1.531000e-02	NaN	NaN	NaN	NaN	NaN	NaN
10	30	100	3.483800e+01	2.458600e-02	2.459100e-02	2.451400e-02	NaN	NaN	NaN	NaN	NaN	NaN
10	40	100	3.100600e+01	3.580400e-02	3.587000e-02	3.580900e-02	NaN	NaN	NaN	NaN	NaN	NaN
10	50	100	2.761300e+01	4.880200e-02	4.900300e-02	4.914100e-02	NaN	NaN	NaN	NaN	NaN	NaN
10	60	100	2.470100e+01	6.428200e-02	6.409300e-02	6.400300e-02	NaN	NaN	NaN	NaN	NaN	NaN
10	70	100	2.213300e+01	8.138100e-02	8.083400e-02	8.168200e-02	NaN	NaN	NaN	NaN	NaN	NaN
10	80	100	1.989600e+01	9.992200e-02	1.009500e-01	1.000400e-01	NaN	NaN	NaN	NaN	NaN	NaN
10	90	100	1.796100e+01	1.209100e-01	1.212200e-01	1.213400e-01	NaN	NaN	NaN	NaN	NaN	NaN
20	10	100	4.454700e+01	7.987600e-03	7.965500e-03	7.920300e-03	NaN	NaN	NaN	NaN	NaN	NaN
20	100	100	1.619600e+01	1.446100e-01	1.445200e-01	1.455400e-01	NaN	NaN	NaN	NaN	NaN	NaN
20	110	100	1.465200e+01	1.691600e-01	1.692800e-01	1.694200e-01	NaN	NaN	NaN	NaN	NaN	NaN
20	120	100	1.331400e+01	1.991800e-01	1.976700e-01	1.970900e-01	NaN	NaN	NaN	NaN	NaN	NaN
20	20	100	3.937100e+01	1.534300e-02	1.527200e-02	1.528200e-02	NaN	NaN	NaN	NaN	NaN	NaN
20	30	100	3.492400e+01	2.466800e-02	2.466900e-02	2.443500e-02	NaN	NaN	NaN	NaN	NaN	NaN
20	40	100	3.097300e+01	3.583900e-02	3.575900e-02	3.587700e-02	NaN	NaN	NaN	NaN	NaN	NaN
20	50	100	2.759000e+01	4.912600e-02	4.907500e-02	4.904700e-02	NaN	NaN	NaN	NaN	NaN	NaN
20	60	100	2.468500e+01	6.409400e-02	6.404000e-02	6.361500e-02	NaN	NaN	NaN	NaN	NaN	NaN
20	70	100	2.211300e+01	8.101100e-02	8.170000e-02	8.101800e-02	NaN	NaN	NaN	NaN	NaN	NaN
20	80	100	1.991100e+01	9.970000e-02	1.004500e-01	1.006800e-01	NaN	NaN	NaN	NaN	NaN	NaN
20	90	100	1.794500e+01	1.206600e-01	1.218400e-01	1.218700e-01	NaN	NaN	NaN	NaN	NaN	NaN
30	10	100	4.451100e+01	7.962000e-03	7.958000e-03	7.945700e-03	NaN	NaN	NaN	NaN	NaN	NaN
30	100	100	1.621300e+01	1.450500e-01	1.456400e-01	1.456100e-01	NaN	NaN	NaN	NaN	NaN	NaN
30	110	100	1.464400e+01	1.714500e-01	1.700500e-01	1.699100e-01	NaN	NaN	NaN	NaN	NaN	NaN
30	120	100	1.330100e+01	1.951500e-01	1.992000e-01	2.006100e-01	NaN	NaN	NaN	NaN	NaN	NaN
30	20	100	3.941400e+01	1.526700e-02	1.527900e-02	1.522700e-02	NaN	NaN	NaN	NaN	NaN	NaN
30	30	100	3.480000e+01	2.471700e-02	2.467500e-02	2.461500e-02	NaN	NaN	NaN	NaN	NaN	NaN
30	40	100	3.099900e+01	3.579200e-02	3.566300e-02	3.580400e-02	NaN	NaN	NaN	NaN	NaN	NaN
30	50	100	2.760000e+01	4.920700e-02	4.922200e-02	4.846900e-02	NaN	NaN	NaN	NaN	NaN	NaN
30	60	100	2.464500e+01	6.461100e-02	6.534500e-02	6.398400e-02	NaN	NaN	NaN	NaN	NaN	NaN
30	70	100	2.211100e+01	8.121700e-02	8.119700e-02	8.119300e-02	NaN	NaN	NaN	NaN	NaN	NaN
30	80	100	1.987800e+01	1.004600e-01	1.007400e-01	1.001100e-01	NaN	NaN	NaN	NaN	NaN	NaN
30	90	100	1.793000e+01	1.216400e-01	1.212700e-01	1.216600e-01	NaN	NaN	NaN	NaN	NaN	NaN
