Mh	DMP	CrossSection_fb	~h2->e1,E1,~h1	~h2->e2,E2,~h1	~h2->e3,E3,~h1	~h-->N1,e1,~h1	~h-->N2,e2,~h1	~h-->N3,e3,~h1	~h+->n1,E1,~h1	~h+->n2,E2,~h1	~h+->n3,E3,~h1
10	10	1.957200e+02	5.506500e-09	5.500700e-09	4.696000e-09	NaN	NaN	NaN	NaN	NaN	NaN
10	100	5.009800e+01	3.166300e-03	3.163700e-03	3.150700e-03	NaN	NaN	NaN	NaN	NaN	NaN
10	110	4.398600e+01	8.590100e-03	8.597000e-03	8.588200e-03	NaN	NaN	NaN	NaN	NaN	NaN
10	120	3.886100e+01	1.621300e-02	1.616600e-02	1.610600e-02	NaN	NaN	NaN	NaN	NaN	NaN
10	20	1.647700e+02	1.264000e-07	1.264000e-07	1.210800e-07	NaN	NaN	NaN	NaN	NaN	NaN
10	30	1.390200e+02	8.247900e-07	8.239400e-07	8.082600e-07	NaN	NaN	NaN	NaN	NaN	NaN
10	40	1.184000e+02	3.199000e-06	3.198700e-06	3.157600e-06	NaN	NaN	NaN	NaN	NaN	NaN
10	50	1.012500e+02	9.417700e-06	9.418200e-06	9.325100e-06	NaN	NaN	NaN	NaN	NaN	NaN
10	60	8.693200e+01	2.367100e-05	2.369800e-05	2.352900e-05	NaN	NaN	NaN	NaN	NaN	NaN
10	70	7.526200e+01	5.480900e-05	5.486700e-05	5.448000e-05	NaN	NaN	NaN	NaN	NaN	NaN
10	80	6.532600e+01	1.263000e-04	1.262200e-04	1.256100e-04	NaN	NaN	NaN	NaN	NaN	NaN
10	90	5.716300e+01	3.998000e-04	3.996200e-04	3.979900e-04	NaN	NaN	NaN	NaN	NaN	NaN
110	10	1.960900e+02	5.504900e-09	5.501900e-09	4.699200e-09	NaN	NaN	NaN	NaN	NaN	NaN
110	100	4.995200e+01	3.162000e-03	3.158300e-03	3.154500e-03	NaN	NaN	NaN	NaN	NaN	NaN
110	110	4.401800e+01	8.604000e-03	8.607900e-03	8.598300e-03	NaN	NaN	NaN	NaN	NaN	NaN
110	120	3.884700e+01	1.607100e-02	1.615400e-02	1.609100e-02	NaN	NaN	NaN	NaN	NaN	NaN
110	20	1.648600e+02	1.264100e-07	1.262900e-07	1.211400e-07	NaN	NaN	NaN	NaN	NaN	NaN
110	30	1.390800e+02	8.251400e-07	8.241400e-07	8.074400e-07	NaN	NaN	NaN	NaN	NaN	NaN
110	40	1.181100e+02	3.197600e-06	3.200100e-06	3.157900e-06	NaN	NaN	NaN	NaN	NaN	NaN
110	50	1.012200e+02	9.420700e-06	9.430600e-06	9.331500e-06	NaN	NaN	NaN	NaN	NaN	NaN
110	60	8.705200e+01	2.368600e-05	2.368300e-05	2.349800e-05	NaN	NaN	NaN	NaN	NaN	NaN
110	70	7.515900e+01	5.480900e-05	5.485300e-05	5.445100e-05	NaN	NaN	NaN	NaN	NaN	NaN
110	80	6.543500e+01	1.262900e-04	1.262300e-04	1.257100e-04	NaN	NaN	NaN	NaN	NaN	NaN
110	90	5.709500e+01	3.994600e-04	3.999900e-04	3.982200e-04	NaN	NaN	NaN	NaN	NaN	NaN
120	10	1.960100e+02	5.502100e-09	5.502000e-09	4.697100e-09	NaN	NaN	NaN	NaN	NaN	NaN
120	100	5.006400e+01	3.164800e-03	3.167300e-03	3.150500e-03	NaN	NaN	NaN	NaN	NaN	NaN
120	110	4.398100e+01	8.588600e-03	8.606000e-03	8.573400e-03	NaN	NaN	NaN	NaN	NaN	NaN
120	120	3.891400e+01	1.620100e-02	1.618600e-02	1.616200e-02	NaN	NaN	NaN	NaN	NaN	NaN
120	20	1.646600e+02	1.263500e-07	1.263100e-07	1.211400e-07	NaN	NaN	NaN	NaN	NaN	NaN
120	30	1.392100e+02	8.241000e-07	8.241600e-07	8.089300e-07	NaN	NaN	NaN	NaN	NaN	NaN
120	40	1.183100e+02	3.198800e-06	3.199100e-06	3.158200e-06	NaN	NaN	NaN	NaN	NaN	NaN
120	50	1.010900e+02	9.423200e-06	9.410400e-06	9.334500e-06	NaN	NaN	NaN	NaN	NaN	NaN
120	60	8.679300e+01	2.369800e-05	2.365700e-05	2.351400e-05	NaN	NaN	NaN	NaN	NaN	NaN
120	70	7.527000e+01	5.480600e-05	5.481600e-05	5.449100e-05	NaN	NaN	NaN	NaN	NaN	NaN
120	80	6.548600e+01	1.262500e-04	1.261700e-04	1.256300e-04	NaN	NaN	NaN	NaN	NaN	NaN
120	90	5.717700e+01	3.997900e-04	3.992900e-04	3.983000e-04	NaN	NaN	NaN	NaN	NaN	NaN
130	10	1.958900e+02	5.505100e-09	5.502400e-09	4.698300e-09	NaN	NaN	NaN	NaN	NaN	NaN
130	100	4.996900e+01	3.163800e-03	3.157400e-03	3.153100e-03	NaN	NaN	NaN	NaN	NaN	NaN
130	110	4.410000e+01	8.609400e-03	8.603000e-03	8.593900e-03	NaN	NaN	NaN	NaN	NaN	NaN
130	120	3.884000e+01	1.610500e-02	1.622300e-02	1.610600e-02	NaN	NaN	NaN	NaN	NaN	NaN
130	20	1.644300e+02	1.264100e-07	1.263400e-07	1.211000e-07	NaN	NaN	NaN	NaN	NaN	NaN
130	30	1.388500e+02	8.252600e-07	8.242600e-07	8.081600e-07	NaN	NaN	NaN	NaN	NaN	NaN
130	40	1.181900e+02	3.193800e-06	3.196300e-06	3.157500e-06	NaN	NaN	NaN	NaN	NaN	NaN
130	50	1.011100e+02	9.425200e-06	9.416900e-06	9.331700e-06	NaN	NaN	NaN	NaN	NaN	NaN
130	60	8.694700e+01	2.368000e-05	2.368200e-05	2.351000e-05	NaN	NaN	NaN	NaN	NaN	NaN
130	70	7.532400e+01	5.484500e-05	5.479800e-05	5.446600e-05	NaN	NaN	NaN	NaN	NaN	NaN
130	80	6.535400e+01	1.262900e-04	1.263100e-04	1.256300e-04	NaN	NaN	NaN	NaN	NaN	NaN
130	90	5.714800e+01	3.998200e-04	3.997600e-04	3.981300e-04	NaN	NaN	NaN	NaN	NaN	NaN
140	10	1.962000e+02	5.502600e-09	5.509200e-09	4.695600e-09	NaN	NaN	NaN	NaN	NaN	NaN
140	100	4.996100e+01	3.163100e-03	3.161400e-03	3.151000e-03	NaN	NaN	NaN	NaN	NaN	NaN
140	110	4.397700e+01	8.634300e-03	8.597800e-03	8.596200e-03	NaN	NaN	NaN	NaN	NaN	NaN
140	120	3.884500e+01	1.617800e-02	1.613000e-02	1.607300e-02	NaN	NaN	NaN	NaN	NaN	NaN
140	20	1.644500e+02	1.262700e-07	1.262100e-07	1.211200e-07	NaN	NaN	NaN	NaN	NaN	NaN
140	30	1.389700e+02	8.244600e-07	8.238100e-07	8.081000e-07	NaN	NaN	NaN	NaN	NaN	NaN
140	40	1.183100e+02	3.196200e-06	3.195900e-06	3.156600e-06	NaN	NaN	NaN	NaN	NaN	NaN
140	50	1.011000e+02	9.421800e-06	9.420500e-06	9.330400e-06	NaN	NaN	NaN	NaN	NaN	NaN
140	60	8.706900e+01	2.368400e-05	2.370000e-05	2.349400e-05	NaN	NaN	NaN	NaN	NaN	NaN
140	70	7.527700e+01	5.482400e-05	5.479500e-05	5.456300e-05	NaN	NaN	NaN	NaN	NaN	NaN
140	80	6.535000e+01	1.261700e-04	1.262800e-04	1.256900e-04	NaN	NaN	NaN	NaN	NaN	NaN
